,f1_ATT,f2_TRT,HV,Temperature,C_epoch_number,L_iteration_per_epoch,A_num_accepted_moves_per_epoch,eps_num_epochs_without_accepting_solution,Route
51,11.184397163120567,178,0.6309977890052008,37.895235129418865,28,8,0,1,10-12-9-6*8-14-6-9*3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*2-5-7-14-6-9-10*13-12-10-9-7-5-3-4*
52,11.139909735654417,182,0.6309977890052008,37.895235129418865,28,9,0,1,10-12-9-6*8-14-6-9-7*3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*2-5-7-14-6-9-10*13-12-10-9-7-5-3-4*
53,11.140554480980013,180,0.6309977890052008,37.895235129418865,28,10,0,1,10-12-9-6*8-14-6-9-7*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*2-5-7-14-6-9-10*13-12-10-9-7-5-3-4*
54,11.127659574468085,183,0.6309977890052008,37.81944465916003,29,1,0,2,10-12-9-6*8-14-6-9-7*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*2-5-7-14-6-9-10*12-10-9-7-5-3-4*
55,11.195357833655706,180,0.6309977890052008,37.81944465916003,29,2,0,2,10-12-9-6*8-14-6-9-7*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*2-5-7-14-6-9-10*12-10-9-7-5-3-4*
56,11.208252740167634,177,0.6309977890052008,37.81944465916003,29,3,0,2,10-12-9-6*8-14-6-9-7*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*5-7-14-6-9-10*12-10-9-7-5-3-4*
57,11.208252740167634,182,0.6309977890052008,37.81944465916003,29,4,0,2,10-12-9-6*8-14-6-9-7*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*5-7-14-6-9-10*12-10-9-7-5-3-4*
58,11.208252740167634,184,0.6309977890052008,37.81944465916003,29,5,0,2,10-12-9-6*8-14-6-9-7*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*5-7-14-6-9-10-12*12-10-9-7-5-3-4*
59,11.210831721470019,182,0.6309977890052008,37.81944465916003,29,6,0,2,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12-13*5-7-14-6-9-10-12*12-10-9-7-5-3-4*
60,11.246292714377821,177,0.6309977890052008,37.81944465916003,29,7,0,2,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-12*5-7-14-6-9-10-12*12-10-9-7-5-3-4*
61,11.245647969052225,179,0.6309977890052008,37.81944465916003,29,8,0,2,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12*12-10-9-7-5-3-4*
62,11.255963894261766,174,0.6309977890052008,37.81944465916003,29,9,0,2,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*12-10-9-7-5-3-4*
63,11.06769825918762,180,0.6309977890052008,37.81944465916003,29,10,0,2,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4*
64,11.029013539651837,182,0.6309977890052008,37.74380576984171,30,1,0,3,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1*
65,11.016118633139909,185,0.6309977890052008,37.74380576984171,30,2,0,3,10-12-9-6*8-14-6-9-7-5*5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
66,11.016118633139909,189,0.6309977890052008,37.74380576984171,30,3,0,3,10-12-9-6*8-14-6-9-7-5*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
67,11.016118633139909,184,0.6309977890052008,37.74380576984171,30,4,0,3,10-12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
68,10.854932301740812,194,0.6309977890052008,37.74380576984171,30,5,0,3,12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
69,10.854932301740812,204,0.6309977890052008,37.74380576984171,30,6,0,3,12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-11*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
70,10.854932301740812,206,0.6309977890052008,37.74380576984171,30,7,0,3,12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-11-3*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
71,10.893617021276595,204,0.6309977890052008,37.74380576984171,30,8,0,3,13-12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-11-3*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
72,10.854932301740812,206,0.6309977890052008,37.74380576984171,30,9,0,3,13-12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-11-3*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1*
73,10.854932301740812,204,0.6309977890052008,37.74380576984171,30,10,0,3,13-12-9-6*8-14-6-9-7-5-3*2-5-3-11-10-12-13-9-7-14*0-1-2-5-7-9-10-11-3*5-7-14-6-9-10-12-13*10-9-7-5-3-4-1-2*
