"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution","Route"
"1",0,128,13.3842682140554,500,1,0,0,0,NA
"2",0,128,13.3842682140554,500,1,0,0,0,NA
"3",1,131,12.3713733075435,500,1,1,1,0,NA
"4",2,123,12.3713733075435,500,1,2,2,0,NA
"5",0,151,11.8220502901354,475,2,0,0,0,NA
"6",1,149,11.8284977433914,475,2,1,1,0,NA
"7",2,159,11.7865892972276,475,2,2,2,0,NA
"8",0,154,11.8220502901354,451.25,3,0,0,0,NA
"9",1,151,11.8220502901354,451.25,3,1,1,0,NA
"10",2,154,11.8220502901354,451.25,3,2,2,0,NA
"11",0,154,11.8220502901354,428.6875,4,0,0,0,NA
"12",1,144,11.8639587362992,428.6875,4,1,1,0,NA
"13",2,154,11.8639587362992,428.6875,4,2,2,0,NA
"14",0,144,13.4268214055448,407.253125,5,0,0,0,NA
"15",1,154,12.143778207608,407.253125,5,1,0,0,NA
"16",2,149,12.1534493874919,407.253125,5,2,0,0,NA
"17",0,141,12.324306898775,386.89046875,6,0,0,1,NA
"18",1,143,12.2991618310767,386.89046875,6,1,1,0,NA
"19",2,143,12.2991618310767,386.89046875,6,2,2,0,NA
"20",0,141,12.4906511927789,367.5459453125,7,0,0,0,NA
"21",1,151,12.1889103803997,367.5459453125,7,1,0,0,NA
"22",2,149,12.1889103803997,367.5459453125,7,2,0,0,NA
"23",0,149,12.1889103803997,349.168648046875,8,0,0,1,NA
"24",1,146,12.2856221792392,349.168648046875,8,1,0,1,NA
"25",2,145,13.6931012250161,349.168648046875,8,2,0,1,NA
"26",0,143,13.712443584784,331.710215644531,9,0,0,2,NA
"27",1,146,12.813023855577,331.710215644531,9,1,0,2,NA
"28",2,136,12.8323662153449,331.710215644531,9,2,0,2,NA
"29",0,146,12.5248226950355,315.124704862305,10,0,0,3,NA
"30",1,97,17.4235976789168,315.124704862305,10,1,0,3,NA
"31",2,121,13.7330754352031,315.124704862305,10,2,1,0,NA
"32",0,119,13.9555125725338,299.368469619189,11,0,0,0,NA
"33",1,114,13.9651837524178,299.368469619189,11,1,1,0,NA
"34",2,114,13.9651837524178,299.368469619189,11,2,2,0,NA
"35",0,112,14.0876853642811,284.40004613823,12,0,0,0,NA
"36",1,110,16.8401031592521,284.40004613823,12,1,1,0,NA
"37",2,110,16.8401031592521,284.40004613823,12,2,2,0,NA
"38",0,104,16.8401031592521,270.180043831318,13,0,0,0,NA
"39",1,121,16.5248226950355,270.180043831318,13,1,1,0,NA
"40",2,118,17.2437137330754,270.180043831318,13,2,1,0,NA
"41",0,123,15.9883945841393,256.671041639752,14,0,0,0,NA
"42",1,125,13.4261766602192,256.671041639752,14,1,0,0,NA
"43",2,133,13.3133462282398,256.671041639752,14,2,0,0,NA
"44",0,127,13.3197936814958,243.837489557765,15,0,0,1,NA
"45",1,127,13.3197936814958,243.837489557765,15,1,0,1,NA
"46",2,127,13.3197936814958,243.837489557765,15,2,0,1,NA
"47",0,125,15.8723404255319,231.645615079877,16,0,0,2,NA
"48",1,125,15.8723404255319,231.645615079877,16,1,0,2,NA
"49",2,125,15.8723404255319,231.645615079877,16,2,0,2,NA
"50",0,126,14.9548678272083,220.063334325883,17,0,0,3,NA
"51",1,131,14.9548678272083,220.063334325883,17,1,0,3,NA
"52",2,127,15.5538362346873,220.063334325883,17,2,0,3,NA
