,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
0,81.92151967296245,81.92151967296245,81.92151967296245,81.92151967296245,82.74449952101266,82.74449952101266,82.74449952101266,82.74449952101266,82.75830304192698,82.75830304192698,82.75830304192698,82.75830304192698
1,6.630947458249195,8.155059101690778,3.96593413015242,2.9729473934734005,11.134269994844718,6.941534426038571,6.016863182853387,9.684109097012303,2.955300005966451,3.730116918669223,6.667954954546418,12.666347106232212
2,4.335280661305049,6.057620815182147,4.3192657370165,1.9260290877229835,8.610049242272384,3.528557287024756,2.011688461364609,2.0034727036258637,1.511840479463667,1.586489372532257,1.6365975585583772,1.6978400151631177
3,3.9507699114189396,4.7387590459964635,3.367742200754581,1.6794693848907,6.2274581539212654,2.787925357304673,2.15995366271266,1.4704334137474897,1.3112158924886532,1.3578185489811143,1.3844639270998387,1.4129476815395359
4,3.3633174212633654,3.7527555670360626,2.671644578133143,1.4451404824289744,4.6262154254569285,2.252201726996534,1.9236849775793308,1.2192324265123784,1.191340759928164,1.234812893056366,1.2592701275905323,1.2848031291934863
5,2.8498220485712373,2.989250890915464,2.1489294585582184,1.2543999012151454,3.445208191261406,1.8376492709634467,1.603128382913566,1.0730509215694888,1.102997232957472,1.1447271763604734,1.168187803150818,1.1926490362714166
6,2.3976379995224972,2.392126199237465,1.749745134164427,1.1090857529926343,2.5644668633607064,1.5111578663803806,1.334614860133446,0.9774827893334929,1.0332211329207381,1.0737663420866168,1.0965111463609032,1.1202255457938497
7,2.0027519207925253,1.9248955927466578,1.4453085701005655,1.001307967860973,1.915213450116317,1.2540699291373114,1.123385827225634,0.9074012743491466,0.9754072077325365,1.0152209488840074,1.0374958899046676,1.0606823134806769
8,1.662689905488911,1.561400112022821,1.2146789900989532,0.9217938003725885,1.4481336454210132,1.0565688394030026,0.9665875428885721,0.8516142099757206,0.9258399548715286,0.9652501994399137,0.9872567484901982,1.0100901080312252
9,1.375791256875065,1.2817200596486444,1.0421081530395893,0.8620800809710236,1.1198448048579033,0.9082352049327301,0.8558377507944682,0.8050355594863057,0.8823249250859646,0.9215008442540965,0.9433853531263738,0.9660212193627942
